A,B
Sam Ryder
Somebody


Bazzi
Heaven


Imagine Dragons
Wrecked


Imagine Dragons
Waves


Imagine Dragons
Monday


Fun.
We Are Young (feat. Janelle Mon?e)


Fun.
Carry On


Katy Perry
Electric (Pokemon 25 Version)


CHVRCHES
The Mother We Share 


Charlie Puth
Charlie Be Quiet!


Elton John & Britney Spears
Hold Me Closer


Sigrid
Risk Of Getting Hurt


Sigrid
Thank Me Later


twenty one pilots
Stressed Out


Imagine Dragons
It's Time


Sam Ryder
All The Way Over


Sam Smith
Stay With Me


Gnarls Barkley
Crazy
